2023-08-27 15:44:32,196 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:32,196 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: poll_exit
2023-08-27 15:44:32,197 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: defer
2023-08-27 15:44:32,197 INFO    HandlerThread:42383 [handler.py:handle_request_defer():115] handle defer: 0
2023-08-27 15:44:32,197 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:32,197 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: defer
2023-08-27 15:44:32,197 INFO    SenderThread:42383 [sender.py:send_request_defer():217] handle sender defer: 0
2023-08-27 15:44:32,197 INFO    SenderThread:42383 [sender.py:send_request_defer():253] send defer: 1
2023-08-27 15:44:32,197 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: defer
2023-08-27 15:44:32,197 INFO    HandlerThread:42383 [handler.py:handle_request_defer():115] handle defer: 1
2023-08-27 15:44:32,985 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:32,986 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: defer
2023-08-27 15:44:32,986 INFO    SenderThread:42383 [sender.py:send_request_defer():217] handle sender defer: 1
2023-08-27 15:44:32,986 INFO    SenderThread:42383 [sender.py:send_request_defer():253] send defer: 2
2023-08-27 15:44:32,986 DEBUG   SenderThread:42383 [sender.py:send():122] send: stats
2023-08-27 15:44:32,986 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: defer
2023-08-27 15:44:32,986 INFO    HandlerThread:42383 [handler.py:handle_request_defer():115] handle defer: 2
2023-08-27 15:44:32,986 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:32,986 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: defer
2023-08-27 15:44:32,986 INFO    SenderThread:42383 [sender.py:send_request_defer():217] handle sender defer: 2
2023-08-27 15:44:32,986 INFO    SenderThread:42383 [sender.py:send_request_defer():253] send defer: 3
2023-08-27 15:44:32,986 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: defer
2023-08-27 15:44:32,986 INFO    HandlerThread:42383 [handler.py:handle_request_defer():115] handle defer: 3
2023-08-27 15:44:32,986 DEBUG   SenderThread:42383 [sender.py:send():122] send: summary
2023-08-27 15:44:32,987 INFO    SenderThread:42383 [sender.py:_save_file():730] saving file wandb-summary.json with policy end
2023-08-27 15:44:32,987 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:32,987 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: defer
2023-08-27 15:44:32,987 INFO    SenderThread:42383 [sender.py:send_request_defer():217] handle sender defer: 3
